NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,count
Taizhou,PORT_CNTZO,ALL#WORLD#ASIA#CHN#PORT_CNTZO,false,NaN,PORT_TERMINAL,CHN,1.0,PORT_TERMINAL,2
Taizhou,TAIZHOU,ALL#WORLD#ASIA#CHN#JIANG#TAIZHOU,false,NaN,CITY,CHN,2.0,PREFECTURE-LEVEL DIVISION,2
Padang,PADANG,ALL#WORLD#ASIA#IDN#PADANG,false,NaN,CITY,IDN,1.0,GEOGRAPHICAL UNIT,2
Padang,PORT_IDPDG,ALL#WORLD#ASIA#IDN#PORT_IDPDG,false,NaN,PORT_TERMINAL,IDN,1.0,PORT_TERMINAL,2
Hampton NE,HAMNE,ALL#WORLD#NOAME#USA#NOPLA#NEBRA#HAMNE,false,NaN,CITY,USA,3.0,CITY,2
Hampton NE,PORT_USHAX,ALL#WORLD#NOAME#USA#PORT_USHAX,false,NaN,PORT_TERMINAL,USA,1.0,PORT_TERMINAL,2
Krishnapatnam,KRISH,ALL#WORLD#ASIA#IND#SOUIN#ANDHR#KRISH,false,NaN,CITY,IND,3.0,DISTRICT,2
Krishnapatnam,PORT_INKRI,ALL#WORLD#ASIA#IND#PORT_INKRI,false,NaN,PORT_TERMINAL,IND,1.0,PORT_TERMINAL,2
Tekirdag,TKRDG,ALL#WORLD#ASIA#TUR#TKRDG,false,NaN,STATE,TUR,1.0,PROVINCE,2
Tekirdag,PORT_TRTEK,ALL#WORLD#ASIA#TUR#PORT_TRTEK,false,NaN,PORT_TERMINAL,TUR,1.0,PORT_TERMINAL,2
Celle,DE931,ALL#WORLD#EUR#DEU#DE9#DE93#DE931,false,NaN,DEPARTMENT,DEU,3.0,MUNICIPALITY,2
Celle,CELLE-GER,ALL#WORLD#EUR#DEU#LOWSA#CELLE-GER,false,NaN,TERRITORY,DEU,2.0,DISTRICT,2
London Locks WV,LONDONWV,ALL#WORLD#NOAME#USA#EASCB#WISCO#LONDONWV,false,NaN,CITY,USA,3.0,CITY,2
London Locks WV,LONDOWIS,ALL#WORLD#NOAME#USA#APPAL#WESTV#LONDOWIS,false,NaN,CITY,USA,3.0,CITY,2
Utsunomiya,PORT_JPUTO,ALL#WORLD#ASIA#JPN#PORT_JPUTO,false,NaN,PORT_TERMINAL,JPN,1.0,PORT_TERMINAL,2
Utsunomiya,UTSU,ALL#WORLD#ASIA#JPN#UTSU,false,NaN,CITY,JPN,1.0,PREFECTURE,2
Soest,SOEST--GER,ALL#WORLD#EUR#DEU#NRHWE#SOEST--GER,false,NaN,TERRITORY,DEU,2.0,DISTRICT,2
Soest,DEA5B,ALL#WORLD#EUR#DEU#DEA#DEA5#DEA5B,false,NaN,DEPARTMENT,DEU,3.0,MUNICIPALITY,2
Montreal,MONTREAL,ALL#WORLD#NOAME#CAN#MONTREAL,false,NaN,CITY,CAN,1.0,PROVINCE,2
Montreal,PORT_CAMTR,ALL#WORLD#NOAME#CAN#PORT_CAMTR,false,NaN,PORT_TERMINAL,CAN,1.0,PORT_TERMINAL,2
Atucha,PORT_ARATU,ALL#WORLD#SOAME#ARG#PORT_ARATU,false,NaN,PORT_TERMINAL,ARG,1.0,PORT_TERMINAL,2
Atucha,ATUCHA,ALL#WORLD#SOAME#ARG#ATUCHA,false,NaN,CITY,ARG,1.0,CITY,2
Lumut,PORT_MYLUM,ALL#WORLD#ASIA#MYS#PORT_MYLUM,false,NaN,PORT_TERMINAL,MYS,1.0,PORT_TERMINAL,2
Lumut,LUMUT,ALL#WORLD#ASIA#MYS#PENINSULAR_MALAYSIA#PERAK#LUMUT,false,NaN,CITY,MYS,3.0,MUKIM,2
Vienna,VIENN,ALL#WORLD#EUR#AUT#VIENN,false,NaN,CITY,AUT,1.0,STATE,3
Vienna,AT13,ALL#WORLD#EUR#AUT#AT1#AT13,false,NaN,REGION,AUT,2.0,DISTRICT,3
Vienna,AT130,ALL#WORLD#EUR#AUT#AT1#AT13#AT130,false,NaN,DEPARTMENT,AUT,3.0,DEPARTMENT,3
Perth,PERTH,ALL#WORLD#OCE#AUS#PERTH,false,NaN,CITY,AUS,1.0,STATE,2
Perth,PORT_AUPER,ALL#WORLD#OCE#AUS#PORT_AUPER,false,NaN,PORT_TERMINAL,AUS,1.0,PORT_TERMINAL,2
Olternita,OLTERN,ALL#WORLD#EUR#ROU#OLTERN,false,NaN,CITY,ROU,1.0,MUNICIPALITY,2
Olternita,PORT_ROOLT,ALL#WORLD#EUR#ROU#PORT_ROOLT,false,NaN,PORT_TERMINAL,ROU,1.0,PORT_TERMINAL,2
Tonnay charente,PORT_FRTON,ALL#WORLD#EUR#FRA#PORT_FRTON,false,NaN,PORT_TERMINAL,FRA,1.0,PORT_TERMINAL,2
Tonnay charente,T_CHARENTE,ALL#WORLD#EUR#FRA#T_CHARENTE,false,NaN,CITY,FRA,1.0,METROPOLITAN REGION,2
Thuringia,DEG,ALL#WORLD#EUR#DEU#DEG,false,NaN,NATIONAL_REGION,DEU,1.0,STATE,3
Thuringia,DEU_THURINGIA,ALL#WORLD#EUR#DEU#DEU_THURINGIA,false,NaN,REGION,DEU,1.0,STATE,3
Thuringia,DEG0,ALL#WORLD#EUR#DEU#DEG#DEG0,false,NaN,REGION,DEU,2.0,DISTRICT,3
Ciudad Real,ES422,ALL#WORLD#EUR#ESP#ES4#ES42#ES422,false,NaN,DEPARTMENT,ESP,3.0,COMARCA,2
Ciudad Real,CUIDADREAL,ALL#WORLD#EUR#ESP#CUIDADREAL,false,NaN,CITY,ESP,1.0,AUTONOMOUS COMMUNITY,2
Zaragoza,ZARAGOZA,ALL#WORLD#EUR#ESP#SPARG#ZARAGOZA,false,NaN,CITY,ESP,2.0,PROVINCE,2
Zaragoza,ES243,ALL#WORLD#EUR#ESP#ES2#ES24#ES243,false,NaN,DEPARTMENT,ESP,3.0,COMARCA,2
Bunbury,BBURY,ALL#WORLD#OCE#AUS#AUWES#BBURY,false,NaN,CITY,AUS,2.0,LOCAL GOVERNMENT AREA,2
Bunbury,PORT_AUBUY,ALL#WORLD#OCE#AUS#PORT_AUBUY,false,NaN,PORT_TERMINAL,AUS,1.0,PORT_TERMINAL,2
Malta,MLT,ALL#WORLD#EUR#MLT,false,NaN,COUNTRY,Europe,0.0,COUNTRY,4
Malta,MT001,ALL#WORLD#EUR#MLT#MT0#MT00#MT001,false,NaN,DEPARTMENT,MLT,3.0,DEPARTMENT,4
Malta,MT0,ALL#WORLD#EUR#MLT#MT0,false,NaN,NATIONAL_REGION,MLT,1.0,LOCAL COUNCIL,4
Malta,MT00,ALL#WORLD#EUR#MLT#MT0#MT00,false,NaN,REGION,MLT,2.0,REGION,4
Düsseldorf,DSSELDORF,ALL#WORLD#EUR#DEU#DSSELDORF,false,NaN,CITY,DEU,1.0,STATE,2
Düsseldorf,DEA1,ALL#WORLD#EUR#DEU#DEA#DEA1,false,NaN,REGION,DEU,2.0,DISTRICT,2
Sigmaringen,DE149,ALL#WORLD#EUR#DEU#DE1#DE14#DE149,false,NaN,DEPARTMENT,DEU,3.0,MUNICIPALITY,2
Sigmaringen,SIGMARINGEN---GER,ALL#WORLD#EUR#DEU#BADEW#SIGMARINGEN---GER,false,NaN,TERRITORY,DEU,2.0,DISTRICT,2
Safi,SAFI,ALL#WORLD#AFR#MAR#SAFI,false,NaN,CITY,MAR,1.0,REGION,2
Safi,PORT_MASFI,ALL#WORLD#AFR#MAR#PORT_MASFI,false,NaN,PORT_TERMINAL,MAR,1.0,PORT_TERMINAL,2
Trøndelag,NOR_TROND,ALL#WORLD#EUR#NOR#NOR_TROND,false,NaN,COUNTY,NOR,1.0,COUNTY,3
Trøndelag,NO060,ALL#WORLD#EUR#NOR#NO0#NO06#NO060,false,NaN,DEPARTMENT,NOR,3.0,BOROUGH,3
Trøndelag,NO06,ALL#WORLD#EUR#NOR#NO0#NO06,false,NaN,REGION,NOR,2.0,MUNICIPALITY,3
Arad,RO421,ALL#WORLD#EUR#ROU#RO4#RO42#RO421,false,NaN,DEPARTMENT,ROU,3.0,DEPARTMENT,2
Arad,ARAD,ALL#WORLD#EUR#ROU#ARAD,false,NaN,CITY,ROU,1.0,MUNICIPALITY,2
Ullapara,PORT_ULLAPARA,ALL#WORLD#ASIA#BGD#PORT_ULLAPARA,false,NaN,PORT_TERMINAL,BGD,1.0,PORT_TERMINAL,2
Ullapara,ULLAPARA,ALL#WORLD#ASIA#BGD#ULLAPARA,false,NaN,CITY,BGD,1.0,DIVISION,2
Yatsushiro,YATSU,ALL#WORLD#ASIA#JPN#YATSU,false,NaN,CITY,JPN,1.0,PREFECTURE,2
Yatsushiro,PORT_JPYAT,ALL#WORLD#ASIA#JPN#PORT_JPYAT,false,NaN,PORT_TERMINAL,JPN,1.0,PORT_TERMINAL,2
Ahrweiler,DEB12,ALL#WORLD#EUR#DEU#DEB#DEB1#DEB12,false,NaN,DEPARTMENT,DEU,3.0,MUNICIPALITY,2
Ahrweiler,AHRWEILER--GER,ALL#WORLD#EUR#DEU#RHINE#AHRWEILER--GER,false,NaN,TERRITORY,DEU,2.0,DISTRICT,2
HUELVA,HUELVA,ALL#WORLD#EUR#ESP#HUELVA_PROVINCE#HUELVA,false,NaN,CITY,ESP,2.0,PROVINCE,2
HUELVA,PORT_ESHUV,ALL#WORLD#EUR#ESP#PORT_ESHUV,false,NaN,PORT_TERMINAL,ESP,1.0,PORT_TERMINAL,2
Corabia,CORAB,ALL#WORLD#EUR#ROU#OLT#CORAB,false,NaN,CITY,ROU,2.0,COMMUNES AND VILLAGE,2
Corabia,PORT_ROCOB,ALL#WORLD#EUR#ROU#PORT_ROCOB,false,NaN,PORT_TERMINAL,ROU,1.0,PORT_TERMINAL,2
Villa Constitucion,VCTAR,ALL#WORLD#SOAME#ARG#PAMAR#SAFPA#VCTAR,false,NaN,CITY,ARG,3.0,CITY,2
Villa Constitucion,PORT_ARVCN,ALL#WORLD#SOAME#ARG#PORT_ARVCN,false,NaN,PORT_TERMINAL,ARG,1.0,PORT_TERMINAL,2
Ávila,ES411,ALL#WORLD#EUR#ESP#ES4#ES41#ES411,false,NaN,DEPARTMENT,ESP,3.0,COMARCA,2
Ávila,AVILA,ALL#WORLD#EUR#ESP#AVILA,false,NaN,CITY,ESP,1.0,AUTONOMOUS COMMUNITY,2
Brake,BRAKE,ALL#WORLD#EUR#DEU#LOWSA#BRAKE,false,NaN,CITY,DEU,2.0,DISTRICT,2
Brake,PORT_DEBKE,ALL#WORLD#EUR#DEU#PORT_DEBKE,false,NaN,PORT_TERMINAL,DEU,1.0,PORT_TERMINAL,2
Southeastern,MK004,ALL#WORLD#EUR#MKD#MK0#MK00#MK004,false,NaN,DEPARTMENT,MKD,3.0,DEPARTMENT,2
Southeastern,BG34,ALL#WORLD#EUR#BGR#BG3#BG34,false,NaN,REGION,BGR,2.0,MUNICIPALITY,2
Cape Town,PORT_ZACPT,ALL#WORLD#AFR#ZAF#PORT_ZACPT,false,NaN,PORT_TERMINAL,ZAF,1.0,PORT_TERMINAL,2
Cape Town,CAPE,ALL#WORLD#AFR#ZAF#CAPE,false,NaN,CITY,ZAF,1.0,PROVINCE,2
Parana,PARANA,ALL#WORLD#SOAME#BRA#BRANO#TOCAN#PARANA,false,NaN,CITY,BRA,3.0,CITY,2
Parana,PORT_BRPRX,ALL#WORLD#SOAME#BRA#PORT_BRPRX,false,NaN,PORT_TERMINAL,BRA,1.0,PORT_TERMINAL,2
Konya,KONY,ALL#WORLD#ASIA#TUR#KONY,false,NaN,STATE,TUR,1.0,PROVINCE,2
