NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,count_after_parent
Bergamo,ITC46,ALL#WORLD#EUR#ITA#ITC#ITC4#ITC46,false,,DEPARTMENT,ITA,2,MUNICIPALITY,3
Beja,BEJ,ALL#WORLD#AFR#TUN#BEJ,false,,REGION,TUN,2,GOVERNORATE,1
