NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME
Palmeira do Piauí,PALMERIRPIAUI,ALL#WORLD#Americas#SOAME#BRA#BRACW#PIAUI#PALMERIRPIAUI,false,,CITY
Massa-Carrara,ITI11,ALL#WORLD#EUR#ITA#ITI#ITI1#ITI11,false,,DEPARTMENT
Whiteville,WHITE,ALL#WORLD#NOAME#USA#APPAL#NOCAR#WHITE,false,,CITY
Bitung,BITUNG,ALL#WORLD#ASIA#IDN#BITUNG,false,,CITY
CENTRAL NORTH SANTA FE,CN_SANTA_FE,ALL#WORLD#Americas#SOAME#ARG#CN_SANTA_FE,false,,REGION
Clevelandia,CLEVELANDIA,ALL#WORLD#Americas#SOAME#BRA#BRASO#PARAN#CLEVELANDIA,false,,CITY
Riau Islands,RIAS,ALL#WORLD#ASIA#IDN#RIAS,false,,REGION
Jim Falls WI,JIMFALWI,ALL#WORLD#NOAME#USA#EASCB#WISCO#JIMFALWI,false,,CITY
Santa cruz de tenerife,CRUZ,ALL#WORLD#EUR#ESP#CRUZ,false,,CITY
Central Panhandle TX,CPTX,ALL#WORLD#NOAME#USA#SOPLA#TEXAS#CPTX,false,,REGION
Flensburg (Independent City),DEF01,ALL#WORLD#EUR#DEU#DEF#DEF0#DEF01,false,,DEPARTMENT
Zaragoza,ES243,ALL#WORLD#EUR#ESP#ES2#ES24#ES243,false,,DEPARTMENT
Northern Netherlands,NL1,ALL#WORLD#EUR#NLD#NL1,false,,NATIONAL_REGION
NORTH BELT,N_BELT,ALL#WORLD#Americas#SOAME#ARG#N_BELT,false,,NATIONAL_REGION
Western Slovenia,SI04,ALL#WORLD#EUR#SVN#SI0#SI04,false,,REGION
Port of Agadir,PORT_AGA,ALL#WORLD#AFRMI#MAR#PORT_AGA,false,,CITY
Saudi Arabia - Persian Gulf,SAUPERS,ALL#WORLD#AFRMI#SAU#SAUPERS,false,,REGION
Gann Valley SD,GANNVALESD,ALL#WORLD#NOAME#USA#NOPLA#SODAK#GANNVALESD,false,,CITY
Bagaevskaya,BAGAE,ALL#WORLD#CIS#RUS#SOUFD#ROSFS#BAGAE,false,,CITY
Yancheng,YANCHENG,ALL#WORLD#ASIA#CHN#JIANG#YANCHENG,false,,CITY
Bom Jesus da Lapa,BOM_JESUS_LAP,ALL#WORLD#Americas#SOAME#BRA#BRACW#BAHIA#BOM_JESUS_LAP,false,,CITY
Yalta District,UA44A,ALL#WORLD#CIS#UKR#UA4#UA44#UA44A,false,,DEPARTMENT
Northeast IN,NEIN,ALL#WORLD#NOAME#USA#EASCB#INDIA#NEIN,false,,REGION
Kinta District,KINTA,ALL#WORLD#ASIA#MYS#KINTA,false,,FEDERAL_DISTRICT
Detmold,DEA4,ALL#WORLD#EUR#DEU#DEA#DEA4,false,,REGION
Malden Municipal,MML,ALL#WORLD#NOAME#USA#WECB#MISSO#MML,false,,CITY
Montreal,PORT_CAMTR,ALL#WORLD#NOAME#CAN#PORT_CAMTR,false,,PORT_TERMINAL
Ludwigslust-Parchim District,LUDWIGSLUST-PARCHIMDISTRICT---GER,ALL#WORLD#EUR#DEU#MECKL#LUDWIGSLUST-PARCHIMDISTRICT---GER,false,,TERRITORY
Borken,BORKEN--GER,ALL#WORLD#EUR#DEU#NRHWE#BORKEN--GER,false,,TERRITORY
Tarjun,PORT_IDTAR,ALL#WORLD#ASIA#IDN#PORT_IDTAR,false,,PORT_TERMINAL
Maputo,PORT_MZMPM,ALL#WORLD#AFRMI#MOZ#PORT_MZMPM,false,,PORT_TERMINAL
Rancharia,RANCHARIA,ALL#WORLD#Americas#SOAME#BRA#BRANE#SAOPO#RANCHARIA,false,,CITY
Nord-Est (RO),ROU_MACRO2_NE,ALL#WORLD#EUR#ROU#ROU_MACRO2#ROU_MACRO2_NE,false,,REGION
Puget Sound,PORT_USPGQ,ALL#WORLD#NOAME#USA#PORT_USPGQ,false,,PORT_TERMINAL
Xingtai,PORT_CNXGI,ALL#WORLD#ASIA#CHN#PORT_CNXGI,false,,PORT_TERMINAL
Koszalin County,PL426,ALL#WORLD#EUR#POL#PL4#PL42#PL426,false,,DEPARTMENT
Cruz Das Almas,CRUZ_DAS_ALMAS,ALL#WORLD#Americas#SOAME#BRA#BRACW#BAHIA#CRUZ_DAS_ALMAS,false,,CITY
ALZZ Extra-Regio level 2,ALZZ,ALL#WORLD#EASTE#ALB#ALZ#ALZZ,false,,REGION
Thessaly,GRC_THESSALY,ALL#WORLD#EUR#GRC#GRC_THESSALY,false,,REGION
Foloro,FOLORO,ALL#WORLD#WESTE#NOR#FOLORO,false,,CITY
Aragon,ES24,ALL#WORLD#EUR#ESP#ES2#ES24,false,,REGION
