NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME
Egypt Med,EGMED,ALL#WORLD#AFRMI#EGY#EGMED,True,"[
  ""ALEXD""
]",
United States and Eastern Europe,US_EE,US_EE,True,[],
"Kenya, Tanzania, Uganda, Mozambique and Rwanda",KENTZAUGAMOZRWA,ALL#WORLD#AFR#KENTZAUGAMOZRWA,True,[],
Sabahat,SABAHAT,ALL#WORLD#ASIA#MYS#SABAHAT,True,[],
Benelux,BENLUX,ALL#WORLD#EUR#BENLUX,True,"[
  ""ANTWERP"",
  ""AMS"",
  ""ROTTE"",
  ""GHENT""
]",
England North East,EN-NE,EN-NE,False,,REGION
PADD 1 (East Coast),PADD1,PADD1,True,"[
  ""DCOLU"",
  ""NOCAR"",
  ""VIRGI"",
  ""CONNE"",
  ""DELAW"",
  ""MAINE"",
  ""MARYL"",
  ""MASSA"",
  ""NEWHA"",
  ""NEWJE"",
  ""NEWYO"",
  ""PENNS"",
  ""RHODE"",
  ""VERMO"",
  ""FLORI"",
  ""SOCAR""
]",
Balkans,BALKAN,ALL#WORLD#EUR#BALKAN,False,,REGION
US Gulf and SAF,USG_ZAF,USG_ZAF,True,[],
NASS USA South West & Pacific,NASS_USASW,NASS_USASW,True,"[
  ""NOCAR"",
  ""ARKAN"",
  ""LOUIS"",
  ""MISSI"",
  ""CALIF"",
  ""ALABA"",
  ""SOCAR"",
  ""GEORG""
]",
 European Free Trade Association,EUR_FREE_TRAD_ASSO,ALL#WORLD#EUR#EUR_FREE_TRAD_ASSO,False,,TERRITORY
Other FSU,OTHER_FSU,ALL#WORLD#CIS#OTHER_FSU,False,,COUNTRY_GROUP
CIS,CIS,ALL#WORLD#CIS,False,,REGION
EAST_AFRICA,EASTA,ALL#WORLD#EASTA,False,,REGION
Tanzania and Rwanda,TZARWA,ALL#WORLD#AFR#TZARWA,True,[],
Not Available,,ALL#N/A,False,,WORLD
CTL_AMERICA_AND_CBI,CTLAM,ALL#WORLD#CTLAM,False,,REGION
EAST_EU,EASTE,ALL#WORLD#EASTE,False,,REGION
MIDDLE_EAST,MIDDL,ALL#WORLD#MIDDL,False,,REGION
Black Sea Europe,BSEEU,ALL#WORLD#BSEA#BSEEU,False,,COUNTRY_GROUP
Black Sea ex Europe,BSENE,ALL#WORLD#BSEA#BSENE,False,,COUNTRY_GROUP
Mediterranean Sea,MEDIS,ALL#WORLD#MEDIS,False,,REGION
Europe Mediterranean Sea,EMEDI,ALL#WORLD#EUR#EMEDI,False,,NATIONAL_REGION
Baltic Sea Europe,BALEU,ALL#WORLD#BALTI#BALEU,False,,COUNTRY_GROUP
NORTH_AFRICA,NOAFR,ALL#WORLD#NOAFR,False,,REGION
Moselle River,MOSEL,ALL#WORLD#EUR#MOSEL,False,,NATIONAL_REGION
Black Sea Big Ports,BSEBP,ALL#WORLD#BSEBP,False,,REGION
Black Sea Middle Ports,BSEMP,ALL#WORLD#BSEMP,False,,REGION
Black Sea Small Ports,BSESP,ALL#WORLD#BSESP,False,,REGION
Upriver and Santos,UPTOS,ALL#WORLD#Americas#SOAME#UPTOS,False,,COUNTRY_GROUP
WASDE Major Exporters,EXP,ALL#WORLD#EXP,False,,REGION
BRITISH WEST INDIES,BRITI,ALL#WORLD#BRITI,False,,COUNTRY_GROUP
CENTRAL_WEST_AFRICA,CWA,ALL#WORLD#CWA,False,,REGION
Ocean,OCEAN,ALL#WORLD#OCEAN,False,,COUNTRY_GROUP
OTHERS_SAM,OSAM,ALL#WORLD#OSAM,False,,REGION
OTHERS_SOUTH_EAST_AFRICA,OSEA,ALL#WORLD#OSEA,False,,REGION
SOUTH_EAST_AFRICA,SOEAF,ALL#WORLD#SOEAF,False,,REGION
