NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME
Tien Giang,TIENG,ALL#WORLD#ASIA#VNM,False,,DEPARTMENT,VNM,1,PROVINCE
Central Italy,ITI,ALL#WORLD#EUR#ITA,False,,NATIONAL_REGION,ITA,1,AUTONOMOUS REGION
Central Italy,ITAC,ALL#WORLD#EUR#ITA,False,,NATIONAL_REGION,ITA,1,AUTONOMOUS REGION
Lower Bavaria,DE22,ALL#WORLD#EUR#DEU#DE2,False,,REGION,DEU,2,DISTRICT
Lower Bavaria,DEU_BAV_LOWBAY,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,DEU,2,DISTRICT
Juiz de Fora,JUIZFORA,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Juiz De Fora,JUIZ_DE_FORA,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Kherson Oblast,UA43,ALL#WORLD#EUR#UKR#UA4,False,,REGION,UKR,2,RAION
Kherson Oblast,KHERS,ALL#WORLD#EUR#UKR#SOUKR,False,,STATE,UKR,2,RAION
Foggia,ITF46,ALL#WORLD#EUR#ITA#ITF#ITF4,False,,DEPARTMENT,ITA,3,MUNICIPALITY
Foggia,FOGGI,ALL#WORLD#EUR#ITA#ITAS#ITAPU,False,,CITY,ITA,3,MUNICIPALITY
Bari,ITF47,ALL#WORLD#EUR#ITA#ITF#ITF4,False,,DEPARTMENT,ITA,3,MUNICIPALITY
Bari,BARII,ALL#WORLD#EUR#ITA#ITAS#ITAPU,False,,CITY,ITA,3,MUNICIPALITY
Lombardy,ITC4,ALL#WORLD#EUR#ITA#ITC,False,,REGION,ITA,2,PROVINCE
Lombardy,ITLOM,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,ITA,2,PROVINCE
Middle Franconia,DEU_BAV_MIDFRANC,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,DEU,2,DISTRICT
Middle Franconia,DE25,ALL#WORLD#EUR#DEU#DE2,False,,REGION,DEU,2,DISTRICT
