check,check_level,check_status,constraint,constraint_status,constraint_message,column_name
Data Quality Checks Errors,Error,Error,"AnalysisBasedConstraint(DataType(NAME,None),<function1>,Some(<function1>),None)",Success,,NAME
Data Quality Checks Errors,Error,Error,"AnalysisBasedConstraint(DataType(CODE,None),<function1>,Some(<function1>),None)",Success,,CODE
Data Quality Checks Errors,Error,Error,"AnalysisBasedConstraint(DataType(HIERARCHY,None),<function1>,Some(<function1>),None)",Success,,HIERARCHY
Data Quality Checks Errors,Error,Error,"AnalysisBasedConstraint(DataType(LEVEL_NAME,None),<function1>,Some(<function1>),None)",Success,,LEVEL_NAME
Data Quality Checks Errors,Error,Error,"AnalysisBasedConstraint(DataType(PARENT,None),<function1>,Some(<function1>),None)",Success,,PARENT
Data Quality Checks Errors,Error,Error,"AnalysisBasedConstraint(DataType(OFFICIAL_LEVEL_NAME,None),<function1>,Some(<function1>),None)",Success,,OFFICIAL_LEVEL_NAME
Data Quality Checks Errors,Error,Error,"AnalysisBasedConstraint(DataType(IS_GROUP,None),<function1>,Some(<function1>),None)",Success,,IS_GROUP
Data Quality Checks Errors,Error,Error,"AnalysisBasedConstraint(DataType(LEVEL_NUMBER,None),<function1>,Some(<function1>),None)",Success,,LEVEL_NUMBER
Data Quality Checks Errors,Error,Error,"CompletenessConstraint(Completeness(NAME,None,None))",Success,,NAME
Data Quality Checks Errors,Error,Error,"CompletenessConstraint(Completeness(CODE,None,None))",Success,,CODE
Data Quality Checks Errors,Error,Error,"CompletenessConstraint(Completeness(HIERARCHY,None,None))",Success,,HIERARCHY
Data Quality Checks Errors,Error,Error,"CompletenessConstraint(Completeness(LEVEL_NAME,None,None))",Success,,LEVEL_NAME
Data Quality Checks Errors,Error,Error,"CompletenessConstraint(Completeness(OFFICIAL_LEVEL_NAME,None,None))",Success,,OFFICIAL_LEVEL_NAME
Data Quality Checks Errors,Error,Error,"CompletenessConstraint(Completeness(PARENT,None,None))",Success,,PARENT
Data Quality Checks Errors,Error,Error,"CompletenessConstraint(Completeness(LEVEL_NUMBER,None,None))",Success,,LEVEL_NUMBER
Data Quality Checks Errors,Error,Error,"UniquenessConstraint(Uniqueness(List(CODE),None,None))",Success,,CODE
Data Quality Checks Errors,Error,Error,"DistinctnessConstraint(Distinctness(Stream(NAME, ?),None))",Failure,Value: 0.8954758190327613 does not meet the constraint requirement!,NAME
Data Quality Checks Errors,Error,Error,"ApproxCountDistinctConstraint(ApproxCountDistinct(NAME,None))",Success,,NAME
Data Quality Checks Errors,Error,Error,"PatternMatchConstraint(HIERARCHY, ALL#.*#.*)",Success,,HIERARCHY
Data Quality Checks Errors,Error,Error,"ComplianceConstraint(Compliance(Country-level hierarchy should have 3 #s,(LEVEL_NAME != 'COUNTRY') OR (size(split(HIERARCHY, '#')) = 4),None,List(),None))",Success,,HIERARCHY
Data Quality Checks Errors,Error,Error,"ComplianceConstraint(Compliance(LEVEL_NUMBER matches # after PARENT,array_position(split(HIERARCHY, '#'), PARENT) IS NULL OR (size(slice(split(HIERARCHY, '#'), array_position(split(HIERARCHY, '#'), PARENT) + 1, 1000)) = LEVEL_NUMBER) AND (LEVEL_NAME != 'CONTINENT'),None,List(),None))",Failure,Value: 0.9797191887675507 does not meet the constraint requirement!,HIERARCHY
Data Quality Checks Errors,Error,Error,"ComplianceConstraint(Compliance(Missing HIERARCHY,false,None,List(),None))",Failure,Value: 0.0 does not meet the constraint requirement!,HIERARCHY
Data Quality Checks Errors,Error,Error,"ComplianceConstraint(Compliance(Rows directly under WORLD should be CONTINENT level,NOT (HIERARCHY LIKE 'ALL#WORLD#%' AND size(split(HIERARCHY, '#')) = 3) OR LEVEL_NAME = 'CONTINENT',None,List(),None))",Success,,HIERARCHY
Data Quality Checks Errors,Error,Error,"ComplianceConstraint(Compliance(If IS_GROUP is true then CHILDREN must not be NULL,NOT(IS_GROUP = true AND CHILDREN IS NULL),None,List(),None))",Success,,IS_GROUP
Data Quality Checks Errors,Error,Error,"ComplianceConstraint(Compliance(If IS_GROUP is true then CHILDREN must not be empty,NOT(CHILDREN IS NULL),None,List(),None))",Success,,IS_GROUP
Data Quality Checks Warning,Warning,Warning,"DistinctnessConstraint(Distinctness(Stream(NAME, ?),None))",Failure,Value: 0.8954758190327613 does not meet the constraint requirement!,NAME
Data Quality Checks Warning,Warning,Warning,"ApproxCountDistinctConstraint(ApproxCountDistinct(NAME,None))",Success,,NAME
