NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,CONTINENT
Sweden,SWE,ALL#WORLD#EUR#SWE,False,,COUNTRY,Europe
Swaziland,SWZ,ALL#WORLD#AFRMI#SWZ,False,,COUNTRY,Africa
Syrian Arab Republic,SYR,ALL#WORLD#AFRMI#SYR,False,,COUNTRY,Asia
Chad,TCD,ALL#WORLD#WESTA#TCD,False,,COUNTRY,Africa
Togo,TGO,ALL#WORLD#WESTA#TGO,False,,COUNTRY,Africa
Thailand,THA,ALL#WORLD#ASIA#THA,False,,COUNTRY,Asia
Aruba,ABW,ALL#WORLD#ABW,False,,COUNTRY,North America
Tajikistan,TJK,ALL#WORLD#CIS#TJK,False,,COUNTRY,Asia
Turkmenistan,TKM,ALL#WORLD#CIS#TKM,False,,COUNTRY,Asia
Tonga,TON,ALL#WORLD#OCEAN#TON,False,,COUNTRY,Oceania
Trinidad And Tobago,TTO,ALL#WORLD#CARIB#TTO,False,,COUNTRY,North America
Tunisia,TUN,ALL#WORLD#AFRMI#TUN,False,,COUNTRY,Africa
Turkey,TUR,ALL#WORLD#WESTE#TUR,False,,COUNTRY,Asia
Taiwan,TWN,ALL#WORLD#ASIA#TWN,False,,COUNTRY,Asia
Tanzania,TZA,ALL#WORLD#EASTA#TZA,False,,COUNTRY,Africa
Uganda,UGA,ALL#WORLD#AFRMI#UGA,False,,COUNTRY,Africa
Ukraine,UKR,ALL#WORLD#CIS#UKR,False,,COUNTRY,Europe
Anguilla,AIA,ALL#WORLD#AIA,False,,COUNTRY,North America
Uruguay,URY,ALL#WORLD#OSAM#URY,False,,COUNTRY,South America
United States,USA,ALL#WORLD#NOAME#USA,False,,COUNTRY,North America
Uzbekistan,UZB,ALL#WORLD#CIS#UZB,False,,COUNTRY,Asia
Saint Vincent And The Grenadines,VCT,ALL#WORLD#CARIB#VCT,False,,COUNTRY,North America
Venezuela,VEN,ALL#WORLD#OSAM#VEN,False,,COUNTRY,South America
Virgin Islands (British),VGB,ALL#WORLD#CARIB#VGB,False,,COUNTRY,Oceania
Vietnam,VNM,ALL#WORLD#ASIA#VNM,False,,COUNTRY,Asia
Samoa,WSM,ALL#WORLD#OCEAN#WSM,False,,COUNTRY,Oceania
Yemen,YEM,ALL#WORLD#AFRMI#YEM,False,,COUNTRY,Asia
South Africa,ZAF,ALL#WORLD#EASTA#ZAF,False,,COUNTRY,Africa
Zambia,ZMB,ALL#WORLD#CWA#ZMB,False,,COUNTRY,Africa
Zimbabwe,ZWE,ALL#WORLD#EASTA#ZWE,False,,COUNTRY,Africa
Algeria,DZA,ALL#WORLD#DZA,False,,COUNTRY,Africa
Netherlands Antilles,ANT,ALL#WORLD#ANT,False,,COUNTRY,Europe
American Samoa,ASM,ALL#WORLD#ASM,False,,COUNTRY,Oceania
Brunei Darussalam,BRN,ALL#WORLD#BRN,False,,COUNTRY,Asia
Bouvet Island,BVT,ALL#WORLD#BVT,False,,COUNTRY,Antarctica
