NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME
Amambai,AMAMS,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,BRA,3,CITY
Chapadao Do Sul,CHAPADAO_DO_SUL,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,BRA,3,CITY
Chapadão do Sul,CSDMA,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,BRA,3,CITY
Yangzijiang,PORT_YANGZG,ALL#WORLD#ASIA#CHN,False,,PORT_TERMINAL,CHN,1,PORT_TERMINAL
Yangjiang,PORT_CNYJI,ALL#WORLD#ASIA#CHN,False,,PORT_TERMINAL,CHN,1,PORT_TERMINAL
Bragança Paulista,BRAGA,ALL#WORLD#SOAME#BRA#BRANE#SAOPO,False,,CITY,BRA,3,CITY
Braganca Paulista,BRAGANCA_PAULISTA,ALL#WORLD#SOAME#BRA#BRANE#SAOPO,False,,CITY,BRA,3,CITY
Bagé,BAGE,ALL#WORLD#SOAME#BRA#BRASO#RIOGS,False,,CITY,BRA,3,CITY
Bage,BAGRI,ALL#WORLD#SOAME#BRA#BRASO#RIOGS,False,,CITY,BRA,3,CITY
Maceió,MACERIO,ALL#WORLD#SOAME#BRA#BRACW#ALAGO,False,,CITY,BRA,3,CITY
Maceio,MACEI,ALL#WORLD#SOAME#BRA#BRACW#ALAGO,False,,CITY,BRA,3,CITY
Istanbul,ISTAN,ALL#WORLD#ASIA#TUR,False,,CITY,TUR,1,PROVINCE
Istanbul,TR1,ALL#WORLD#ASIA#TUR,False,,NATIONAL_REGION,TUR,1,PROVINCE
Vitoria Da Conquista,VITORIA_DA_CONQUISTA,ALL#WORLD#SOAME#BRA#BRACW#BAHIA,False,,CITY,BRA,3,CITY
Vitória da Conquista,VICDC,ALL#WORLD#SOAME#BRA#BRACW#BAHIA,False,,CITY,BRA,3,CITY
Primavera Do Leste,PRIMAVERA_DO_LESTE,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,BRA,3,CITY
Primavera do Leste,PDLMG,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,BRA,3,CITY
Wayne NE,WAYNEBRS,ALL#WORLD#NOAME#USA#NOPLA#NEBRA,False,,CITY,USA,3,CITY
